Points,FeedbackText1,FeedbackText2,stimFile,effLevel,maintask.thisRepN,maintask.thisTrialN,maintask.thisN,maintask.thisIndex,instrText.started,trial_select.started,trial_select.keys,trial_select.rt,trial_select.duration,text_rewardRating.started,text_rewardRating_2.started,coins_little_2.started,coins_many_2.started,reward.started,login_reward.started,reward.response,reward.rt,login_reward.keys,login_reward.rt,login_reward.duration,text_effortRating_3.started,text_effortRating_4.started,battery_empty.started,battery_full.started,effort.started,effort_reward_2.started,effort.response,effort.rt,effort_reward_2.keys,effort_reward_2.rt,effort_reward_2.duration,text2_2.started,text2_2.stopped,text_6.started,background.started,barBody.started,barTop.started,# of presses,trial score,feedbackMsg.started,image_rubies.started,image_shipCrash.started,feedbackMsg.stopped,image_rubies.stopped,image_shipCrash.stopped,Handedness,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,11.124564585999906,11.124564585999906,['return'],[1.1831640549999065],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r/l,,2023-08-29_19h40.21.726,RewardEffortLearning,2023.1.3,None,
3,"You reached the planet, you get 3 rubies!",You did not have enough battery to reach the planet and missed 3 rubies!,image3.png,50,0,0,0,0,,,,,,12.38225424400025,12.38225424400025,12.38225424400025,12.38225424400025,12.419100909999543,14.13827415600008,4.0,1.7572187649993793,['return'],[0.19962640999983705],[None],14.387266834999537,14.387266834999537,14.387266834999537,14.387266834999537,14.40824672799954,14.934282604000146,3.0,0.5318754899999476,['return'],[0.20747186800053896],[None],15.16720194699974,16.178308040000047,16.178308040000047,16.178308040000047,16.178308040000047,16.178308040000047,2,0,17.218764915000065,17.218764915000065,17.218764915000065,27.238048762999824,27.238048762999824,27.238048762999824,r/l,,2023-08-29_19h40.21.726,RewardEffortLearning,2023.1.3,None,
,,,,,,,,,,,,,,27.238048762999824,27.238048762999824,27.238048762999824,27.238048762999824,27.256214193999767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
