maintask.thisRepN,maintask.thisTrialN,maintask.thisN,maintask.thisIndex,Points,FeedbackText1,FeedbackText2,stimFile,effLevel,instrText.started,trial_select.started,trial_select.keys,trial_select.rt,trial_select.duration,text_rewardRating.started,text_rewardRating_2.started,coins_little_2.started,coins_many_2.started,reward.started,login_reward.started,reward.response,reward.rt,login_reward.keys,login_reward.rt,login_reward.duration,text_effortRating_3.started,text_effortRating_4.started,fuel_empty.started,fuel_full.started,effort.started,effort_reward_2.started,effort.response,effort.rt,effort_reward_2.keys,effort_reward_2.rt,effort_reward_2.duration,text2_2.started,text2_2.stopped,text_6.started,barBody.started,spaceShip.started,# of presses,trial score,feedbackMsg.started,image_rubies.started,feedbackMsg.stopped,image_rubies.stopped,Handedness,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,32.793499875000634,32.793499875000634,['return'],[1.0576629120005236],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r/l,,2023-08-31_13h35.28.285,RewardEffortLearning,2023.1.3,None,
,,,,,,,,,,,,,,33.91493675700076,33.91493675700076,33.91493675700076,33.91493675700076,33.94097390600109,34.95328129700101,2.0,1.0450916740010143,['return'],[0.25613014199916506],[None],35.587236813000345,35.587236813000345,35.587236813000345,35.587236813000345,35.602506543000345,36.81301238300148,3.0,1.5688613479997002,['return'],[0.22069198200006213],[None],37.047158289000436,38.05308486500144,38.05308486500144,38.05308486500144,38.05308486500144,14,0,48.09412281200093,48.09412281200093,51.08432309500131,51.08432309500131,,,,,,,
